evaluations raw_y
1 -389.0000000000
7 -241.0000000000
23 -221.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -531.0000000000
2 -349.0000000000
5 -315.0000000000
9 -288.0000000000
11 -261.0000000000
13 -221.0000000000
5010 -1043.0000000000
evaluations raw_y
1 -396.0000000000
5 -369.0000000000
11 -342.0000000000
14 -281.0000000000
35 -268.0000000000
44 -262.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -504.0000000000
2 -302.0000000000
12 -295.0000000000
16 -275.0000000000
27 -255.0000000000
47 -248.0000000000
5010 -1043.0000000000
evaluations raw_y
1 -370.0000000000
4 -322.0000000000
7 -295.0000000000
11 -268.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -409.0000000000
4 -188.0000000000
11 -181.0000000000
16 -168.0000000000
28 -161.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -329.0000000000
10 -241.0000000000
12 -214.0000000000
5010 -962.0000000000
evaluations raw_y
1 -335.0000000000
3 -282.0000000000
19 -235.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -309.0000000000
10 -175.0000000000
17 -121.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -356.0000000000
3 -329.0000000000
10 -315.0000000000
11 -282.0000000000
13 -268.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -457.0000000000
2 -356.0000000000
10 -342.0000000000
11 -315.0000000000
21 -295.0000000000
5010 -962.0000000000
evaluations raw_y
1 -356.0000000000
9 -322.0000000000
19 -302.0000000000
24 -295.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -362.0000000000
2 -329.0000000000
7 -261.0000000000
13 -241.0000000000
16 -234.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -436.0000000000
4 -383.0000000000
7 -262.0000000000
19 -215.0000000000
5010 -969.0000000000
evaluations raw_y
1 -450.0000000000
3 -281.0000000000
13 -254.0000000000
27 -234.0000000000
5010 -1043.0000000000
evaluations raw_y
1 -450.0000000000
3 -389.0000000000
7 -349.0000000000
11 -322.0000000000
140 -315.0000000000
5010 -1043.0000000000
evaluations raw_y
1 -470.0000000000
2 -450.0000000000
3 -242.0000000000
13 -229.0000000000
16 -222.0000000000
27 -195.0000000000
5010 -1043.0000000000
evaluations raw_y
1 -409.0000000000
4 -342.0000000000
11 -288.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -403.0000000000
2 -336.0000000000
5 -276.0000000000
9 -275.0000000000
22 -269.0000000000
30 -208.0000000000
5010 -1016.0000000000
evaluations raw_y
1 -248.0000000000
10 -228.0000000000
19 -215.0000000000
5010 -1016.0000000000
