evaluations raw_y
1 -329.0000000000
7 -255.0000000000
11 -248.0000000000
27 -235.0000000000
32 -214.0000000000
36 -208.0000000000
58 -202.0000000000
83 -201.0000000000
90 -188.0000000000
111 -181.0000000000
115 -148.0000000000
136 -102.0000000000
178 -55.0000000000
205 -42.0000000000
222 -27.0000000000
250 -23.0000000000
336 -17.0000000000
340 -10.0000000000
379 -3.0000000000
406 3.0000000000
411 4.0000000000
1099 5.0000000000
5000 -28.0000000000
evaluations raw_y
1 -288.0000000000
24 -275.0000000000
51 -262.0000000000
60 -229.0000000000
61 -215.0000000000
63 -208.0000000000
66 -201.0000000000
110 -188.0000000000
121 -167.0000000000
125 -135.0000000000
134 -134.0000000000
158 -121.0000000000
163 -87.0000000000
207 -68.0000000000
218 -48.0000000000
266 -15.0000000000
350 -9.0000000000
361 -3.0000000000
481 2.0000000000
500 5.0000000000
4323 6.0000000000
5000 -28.0000000000
evaluations raw_y
1 -410.0000000000
2 -296.0000000000
6 -262.0000000000
49 -228.0000000000
54 -215.0000000000
70 -214.0000000000
117 -121.0000000000
156 -108.0000000000
168 -101.0000000000
182 -94.0000000000
202 -68.0000000000
203 -48.0000000000
243 -30.0000000000
335 -5.0000000000
387 4.0000000000
971 5.0000000000
5000 -28.0000000000
evaluations raw_y
1 -423.0000000000
4 -336.0000000000
5 -288.0000000000
8 -282.0000000000
23 -241.0000000000
65 -201.0000000000
68 -168.0000000000
125 -128.0000000000
159 -87.0000000000
200 -81.0000000000
215 -48.0000000000
295 -42.0000000000
301 -15.0000000000
373 -10.0000000000
398 -3.0000000000
399 4.0000000000
1623 5.0000000000
2906 6.0000000000
5000 -28.0000000000
evaluations raw_y
1 -403.0000000000
3 -376.0000000000
10 -356.0000000000
13 -249.0000000000
16 -188.0000000000
69 -182.0000000000
81 -162.0000000000
111 -121.0000000000
163 -116.0000000000
164 -62.0000000000
211 -48.0000000000
217 -29.0000000000
287 -21.0000000000
293 -16.0000000000
346 -10.0000000000
391 -9.0000000000
414 -4.0000000000
424 2.0000000000
496 4.0000000000
1932 5.0000000000
5000 -16.0000000000
evaluations raw_y
1 -531.0000000000
2 -410.0000000000
3 -403.0000000000
4 -389.0000000000
5 -342.0000000000
7 -282.0000000000
29 -275.0000000000
36 -268.0000000000
58 -261.0000000000
59 -215.0000000000
71 -214.0000000000
88 -202.0000000000
90 -94.0000000000
