evaluations raw_y
114 -88.0000000000
206 -29.0000000000
342 -15.0000000000
356 -3.0000000000
405 4.0000000000
836 5.0000000000
5000 -29.0000000000
evaluations raw_y
1 -302.0000000000
17 -296.0000000000
18 -228.0000000000
64 -221.0000000000
87 -182.0000000000
94 -128.0000000000
111 -114.0000000000
144 -82.0000000000
161 -75.0000000000
197 -48.0000000000
256 -16.0000000000
363 -15.0000000000
372 -10.0000000000
410 -4.0000000000
436 -3.0000000000
449 3.0000000000
510 4.0000000000
2140 5.0000000000
5000 -9.0000000000
evaluations raw_y
1 -396.0000000000
2 -329.0000000000
5 -248.0000000000
15 -242.0000000000
23 -201.0000000000
69 -174.0000000000
73 -154.0000000000
81 -128.0000000000
116 -121.0000000000
137 -107.0000000000
138 -101.0000000000
143 -88.0000000000
186 -76.0000000000
208 -75.0000000000
212 -68.0000000000
234 -62.0000000000
235 -56.0000000000
257 -41.0000000000
272 -35.0000000000
279 -29.0000000000
295 -22.0000000000
332 -9.0000000000
385 3.0000000000
644 4.0000000000
793 5.0000000000
5000 3.0000000000
evaluations raw_y
1 -396.0000000000
4 -349.0000000000
5 -295.0000000000
6 -269.0000000000
10 -221.0000000000
61 -188.0000000000
74 -175.0000000000
85 -107.0000000000
140 -41.0000000000
172 -22.0000000000
267 -10.0000000000
313 -9.0000000000
341 2.0000000000
417 3.0000000000
533 4.0000000000
1312 5.0000000000
2290 6.0000000000
5000 -82.0000000000
evaluations raw_y
1 -464.0000000000
5 -423.0000000000
6 -336.0000000000
9 -329.0000000000
13 -322.0000000000
16 -235.0000000000
23 -228.0000000000
47 -222.0000000000
63 -181.0000000000
79 -141.0000000000
114 -108.0000000000
160 -101.0000000000
182 -95.0000000000
184 -42.0000000000
227 -41.0000000000
235 -15.0000000000
293 -9.0000000000
332 -4.0000000000
349 -3.0000000000
357 1.0000000000
366 3.0000000000
514 4.0000000000
1115 5.0000000000
5000 -41.0000000000
evaluations raw_y
1 -376.0000000000
2 -329.0000000000
3 -215.0000000000
71 -161.0000000000
77 -128.0000000000
123 -121.0000000000
194 -82.0000000000
195 -41.0000000000
322 -23.0000000000
344 3.0000000000
1055 4.0000000000
2801 5.0000000000
5000 -4.0000000000
evaluations raw_y
1 -295.0000000000
30 -275.0000000000
50 -248.0000000000
56 -228.0000000000
60 -201.0000000000
83 -195.0000000000
120 -161.0000000000
122 -128.0000000000
137 -88.0000000000
174 -81.0000000000
200 -74.0000000000
202 -68.0000000000
220 -62.0000000000
221 -55.0000000000
236 -10.0000000000
358 -2.0000000000
387 2.0000000000
395 3.0000000000
410 4.0000000000
1711 5.0000000000
4392 6.0000000000
4565 7.0000000000
5000 -28.0000000000
evaluations raw_y
1 -268.0000000000
11 -168.0000000000
66 -148.0000000000
122 -141.0000000000
131 -108.0000000000
156 -107.0000000000
159 -102.0000000000
183 -94.0000000000
208 -36.0000000000
212 -29.0000000000
264 -22.0000000000
323 -10.0000000000
339 -3.0000000000
364 3.0000000000
559 4.0000000000
2000 5.0000000000
5000 -42.0000000000
evaluations raw_y
1 -201.0000000000
12 -188.0000000000
81 -180.0000000000
131 -147.0000000000
148 -107.0000000000
170 -87.0000000000
189 -81.0000000000
236 -75.0000000000
259 -62.0000000000
270 -49.0000000000
275 -42.0000000000
307 -17.0000000000
363 -4.0000000000
434 2.0000000000
501 3.0000000000
546 4.0000000000
1531 5.0000000000
3437 6.0000000000
5000 -15.0000000000
evaluations raw_y
1 -376.0000000000
5 -369.0000000000
9 -335.0000000000
15 -329.0000000000
22 -322.0000000000
27 -275.0000000000
40 -221.0000000000
80 -181.0000000000
84 -175.0000000000
88 -141.0000000000
148 -81.0000000000
175 -75.0000000000
218 -54.0000000000
258 -48.0000000000
266 -42.0000000000
292 -35.0000000000
312 -29.0000000000
332 -16.0000000000
391 -5.0000000000
431 -3.0000000000
457 2.0000000000
459 3.0000000000
530 4.0000000000
1990 5.0000000000
3178 6.0000000000
5000 -28.0000000000
evaluations raw_y
1 -429.0000000000
6 -375.0000000000
8 -362.0000000000
11 -289.0000000000
12 -255.0000000000
14 -248.0000000000
30 -221.0000000000
92 -148.0000000000
104 -114.0000000000
146 -68.0000000000
182 -42.0000000000
281 -16.0000000000
362 -2.0000000000
442 2.0000000000
487 3.0000000000
488 4.0000000000
1471 5.0000000000
3976 6.0000000000
5000 -33.0000000000
evaluations raw_y
1 -497.0000000000
2 -289.0000000000
8 -262.0000000000
64 -255.0000000000
78 -248.0000000000
80 -235.0000000000
82 -229.0000000000
96 -222.0000000000
103 -135.0000000000
156 -128.0000000000
157 -101.0000000000
191 -88.0000000000
237 -82.0000000000
266 -28.0000000000
320 -22.0000000000
359 -4.0000000000
394 -3.0000000000
407 -2.0000000000
480 2.0000000000
505 5.0000000000
2633 6.0000000000
5000 -22.0000000000
evaluations raw_y
1 -389.0000000000
2 -376.0000000000
8 -288.0000000000
10 -282.0000000000
39 -255.0000000000
58 -195.0000000000
73 -194.0000000000
100 -181.0000000000
129 -174.0000000000
142 -168.0000000000
156 -94.0000000000
183 -88.0000000000
185 -48.0000000000
233 -41.0000000000
269 -9.0000000000
403 -3.0000000000
429 4.0000000000
1333 5.0000000000
5000 -21.0000000000
evaluations raw_y
1 -443.0000000000
4 -436.0000000000
5 -323.0000000000
7 -248.0000000000
40 -175.0000000000
81 -161.0000000000
100 -155.0000000000
133 -101.0000000000
236 -56.0000000000
255 -42.0000000000
300 -29.0000000000
335 -22.0000000000
410 -16.0000000000
431 -2.0000000000
467 1.0000000000
485 2.0000000000
508 3.0000000000
714 4.0000000000
1592 5.0000000000
5000 -35.0000000000
evaluations raw_y
1 -328.0000000000
5 -309.0000000000
28 -268.0000000000
47 -214.0000000000
78 -201.0000000000
82 -181.0000000000
132 -175.0000000000
149 -101.0000000000
161 -94.0000000000
189 -87.0000000000
228 -82.0000000000
231 -68.0000000000
232 -62.0000000000
275 -49.0000000000
285 -42.0000000000
294 -3.0000000000
429 3.0000000000
473 4.0000000000
1275 5.0000000000
2453 6.0000000000
5000 -9.0000000000
