evaluations raw_y
623 3.3875338753
1627 3.4626038781
1868 3.5410764873
1961 3.6231884058
2693 4.3252595156
5010 2.7352297593
evaluations raw_y
1 1.0072522160
2 1.5923566879
5 2.1663778163
58 2.2603978300
76 2.3629489603
134 2.3992322457
153 2.5150905433
199 2.8868360277
290 3.2467532468
314 3.3156498674
387 3.9936102236
5010 3.3156498674
evaluations raw_y
1 1.0548523207
2 1.3691128149
3 1.6254876463
10 1.7337031900
40 2.0000000000
71 2.1968365554
96 2.3992322457
108 2.4752475248
111 2.6427061311
190 2.7352297593
195 2.9411764706
290 3.1172069825
458 3.1806615776
494 3.2467532468
540 3.3156498674
551 3.3875338753
1000 3.4626038781
1133 3.5410764873
1333 3.7091988131
5010 2.3992322457
evaluations raw_y
1 0.4896200548
2 0.8821453776
3 1.3572204126
19 1.8796992481
37 1.9025875190
39 2.8344671202
118 2.9976019185
121 3.1806615776
1285 3.4626038781
1653 4.2087542088
1991 4.5787545788
2111 5.0200803213
5010 3.2467532468
evaluations raw_y
1 1.0407993339
2 1.3116474292
7 1.3227513228
8 1.6254876463
27 1.6425755585
40 1.7146776406
44 1.7934002869
58 1.8355359765
71 2.1968365554
93 2.2603978300
113 2.3629489603
192 2.4366471735
235 2.6427061311
260 2.7352297593
272 3.1172069825
351 3.7993920973
423 3.9936102236
5010 2.9411764706
evaluations raw_y
1 0.7163323782
2 0.8821453776
3 0.9578544061
4 1.4450867052
8 1.5762925599
10 1.7337031900
55 1.7730496454
60 1.8573551263
88 2.0259319287
131 2.1663778163
138 2.3277467412
147 2.4752475248
215 2.5562372188
216 2.8868360277
391 3.7091988131
5010 2.2603978300
evaluations raw_y
1 1.0993843448
5 1.2100677638
6 1.3007284079
8 1.7337031900
36 1.8142235123
40 1.9500780031
42 2.0000000000
60 2.1367521368
104 2.3992322457
125 2.7839643653
174 2.8344671202
196 3.2467532468
821 3.3875338753
3538 4.3252595156
5010 2.0000000000
