evaluations raw_y
1 0.9637625289
3 1.3340448239
14 1.3455328310
16 1.5605493134
45 1.6425755585
56 1.6778523490
62 1.7531556802
78 1.9260400616
107 1.9500780031
109 2.1079258010
134 2.2935779817
183 2.3992322457
193 2.5987525988
333 2.7839643653
380 3.1806615776
540 3.2467532468
678 3.3156498674
871 3.6231884058
2407 4.4483985765
5010 4.4483985765
evaluations raw_y
1 0.9637625289
2 1.0841283608
4 1.3812154696
6 1.8573551263
16 1.9025875190
59 2.1079258010
96 2.2935779817
155 3.2467532468
649 3.3156498674
862 3.3875338753
920 3.9936102236
5010 3.9936102236
evaluations raw_y
1 0.9462528388
3 1.0993843448
4 1.3812154696
7 1.6087516088
8 1.7934002869
43 2.0259319287
47 2.0525451560
76 2.5150905433
337 2.6427061311
411 2.7352297593
461 2.7839643653
532 3.1806615776
611 3.2467532468
967 3.8940809969
1189 3.9936102236
5010 3.9936102236
evaluations raw_y
1 1.0137875101
3 1.4188422247
22 1.4863258026
33 1.6087516088
62 1.6425755585
77 2.0798668885
158 2.1367521368
161 2.7839643653
222 2.9411764706
307 3.0562347188
310 3.2467532468
318 3.3156498674
2660 3.5410764873
2895 3.6231884058
3182 3.9936102236
5010 2.7839643653
evaluations raw_y
1 0.6480041472
2 1.1394712853
3 1.5451174289
5 1.7146776406
21 2.1663778163
49 2.2603978300
151 2.4366471735
269 2.7839643653
332 2.8344671202
498 2.8868360277
773 3.0562347188
4459 3.1172069825
4868 3.3156498674
4912 4.3252595156
5010 3.3156498674
evaluations raw_y
1 1.0548523207
3 1.3935340022
4 1.5151515152
17 1.5605493134
37 1.6600265604
43 1.8355359765
56 2.1663778163
82 2.3277467412
126 2.5987525988
251 2.6427061311
278 2.7839643653
334 3.2467532468
563 3.5410764873
5010 2.1367521368
evaluations raw_y
1 0.8821453776
2 1.2690355330
3 1.6960651289
34 1.9500780031
67 2.0798668885
70 2.1367521368
98 2.3277467412
99 2.4366471735
160 2.8868360277
255 3.1806615776
374 3.3156498674
439 3.5410764873
590 3.8940809969
2009 4.0983606557
2138 4.3252595156
5010 4.3252595156
evaluations raw_y
1 0.7807620237
2 1.1150758252
3 1.4318442153
4 1.4585764294
13 1.8573551263
19 1.9260400616
41 2.0525451560
71 2.1663778163
76 2.2281639929
92 2.2603978300
138 2.5150905433
159 3.0562347188
1236 3.1172069825
1441 3.1806615776
2058 3.3875338753
2135 3.5410764873
2394 3.6231884058
5010 2.2281639929
evaluations raw_y
1 1.8355359765
12 2.0000000000
71 2.1968365554
107 2.2935779817
214 2.3629489603
221 2.4366471735
245 2.7839643653
386 2.8344671202
467 3.0562347188
486 3.3156498674
531 3.6231884058
587 3.9936102236
5010 2.8868360277
evaluations raw_y
1 0.9077705156
2 0.9238728751
3 1.3455328310
4 1.4060742407
8 1.4450867052
14 1.6425755585
24 1.8142235123
29 2.2281639929
89 2.2603978300
97 2.3629489603
99 2.6427061311
173 2.8344671202
210 2.8868360277
312 2.9976019185
473 3.1806615776
587 3.7993920973
5010 3.1172069825
evaluations raw_y
1 0.8771929825
3 1.0407993339
5 1.1825922422
6 1.1916110582
7 1.2588116818
12 1.3572204126
15 1.4723203769
16 1.4863258026
19 1.6087516088
46 1.6600265604
59 1.9025875190
122 1.9500780031
150 2.2281639929
218 2.3629489603
332 2.6881720430
349 2.8344671202
1838 2.9976019185
1968 3.5410764873
2319 3.7993920973
2582 3.9936102236
2639 4.0983606557
5010 2.7352297593
evaluations raw_y
1 0.9881422925
2 1.4863258026
14 1.6254876463
17 1.8573551263
36 1.8796992481
61 2.2603978300
71 2.3629489603
97 3.1172069825
138 3.2467532468
1226 3.3156498674
4021 3.3875338753
4252 3.5410764873
4344 3.6231884058
5010 2.4752475248
evaluations raw_y
1 1.4060742407
3 1.5151515152
20 1.8355359765
33 2.3277467412
78 2.5987525988
176 2.6427061311
300 2.6881720430
361 3.1806615776
447 3.6231884058
561 3.8940809969
5010 3.8940809969
evaluations raw_y
1 1.0993843448
2 1.7531556802
19 1.9025875190
35 2.1968365554
78 2.5150905433
149 2.5987525988
156 2.6427061311
162 2.6881720430
220 2.7352297593
230 2.7839643653
239 2.8868360277
300 3.1172069825
323 3.2467532468
