evaluations raw_y
1 0.9637625289
3 1.3340448239
12 1.5762925599
13 1.6960651289
46 2.0259319287
218 2.0798668885
439 2.1367521368
991 2.3629489603
2996 2.4366471735
5000 1.2388503469
evaluations raw_y
1 1.4188422247
6 1.5006002401
16 1.7934002869
43 2.0259319287
187 2.0798668885
623 2.1079258010
867 2.1367521368
1049 2.1663778163
2950 2.3992322457
5000 0.9697439876
evaluations raw_y
1 0.7034327518
2 1.0477787091
5 1.4723203769
19 1.7146776406
53 1.8142235123
151 2.5150905433
895 2.5987525988
2106 2.8868360277
3658 2.9976019185
5000 0.8722958828
evaluations raw_y
1 0.9578544061
2 1.1150758252
3 1.6254876463
7 1.9260400616
50 2.5987525988
1987 2.8344671202
5000 0.9405568096
evaluations raw_y
1 1.4060742407
11 1.7146776406
37 1.7337031900
153 1.9025875190
298 1.9260400616
630 2.1079258010
865 2.2281639929
1450 3.1172069825
5000 1.7146776406
evaluations raw_y
1 0.9025270758
2 1.2899896801
5 1.3007284079
6 1.3455328310
11 1.5151515152
14 1.7531556802
50 1.9260400616
84 2.1367521368
134 2.3992322457
2988 2.5562372188
5000 1.2588116818
evaluations raw_y
1 0.9184423218
3 1.2291052114
5 1.3572204126
9 1.3935340022
22 1.5451174289
38 1.5605493134
44 1.6778523490
52 2.1663778163
249 2.3992322457
1807 2.4752475248
5000 0.8048937540
evaluations raw_y
1 1.1312217195
5 1.7146776406
37 1.7730496454
90 2.0000000000
221 2.0259319287
288 2.0798668885
411 2.1968365554
910 2.2603978300
1334 2.6427061311
5000 0.8532423208
evaluations raw_y
1 1.1563367253
2 1.2899896801
7 1.6425755585
12 1.9747235387
76 2.0000000000
155 2.7352297593
5000 1.7146776406
evaluations raw_y
1 1.0993843448
2 1.4585764294
11 1.5605493134
12 1.6960651289
44 1.7337031900
79 1.7730496454
177 2.0259319287
266 2.2281639929
868 2.7839643653
5000 1.5006002401
evaluations raw_y
1 1.0477787091
6 1.9747235387
63 2.1367521368
759 2.1663778163
1108 2.2603978300
1542 2.3992322457
1633 2.6881720430
2004 3.3156498674
5000 1.1071744907
evaluations raw_y
1 1.5605493134
12 2.3277467412
1313 2.5987525988
4244 2.7352297593
5000 1.0137875101
evaluations raw_y
1 0.7807620237
2 1.8142235123
10 2.2281639929
647 2.3277467412
1899 2.4366471735
3161 2.7839643653
5000 1.1916110582
evaluations raw_y
1 1.5451174289
5 1.8573551263
219 1.8796992481
263 1.9500780031
302 2.4366471735
731 2.5987525988
1416 2.8344671202
5000 1.4723203769
evaluations raw_y
1 1.5762925599
9 1.8355359765
119 2.2603978300
234 2.2935779817
2196 2.6881720430
5000 1.2291052114
evaluations raw_y
1 1.1312217195
6 1.1563367253
8 1.4060742407
12 1.5151515152
18 1.5299877601
21 1.6600265604
89 1.8355359765
95 2.0259319287
352 2.1663778163
623 2.2281639929
1955 2.3277467412
1990 2.5150905433
5000 0.7846829881
evaluations raw_y
1 1.0993843448
2 1.4060742407
4 1.5923566879
7 1.6254876463
29 1.7730496454
38 1.8355359765
50 2.0525451560
198 2.1367521368
461 2.2603978300
1623 2.3629489603
2026 2.3992322457
2428 2.4366471735
3115 2.6427061311
5000 1.0407993339
evaluations raw_y
1 0.8532423208
2 1.1312217195
5 1.1394712853
6 1.5299877601
9 1.6960651289
23 1.7146776406
47 2.4366471735
3314 2.5150905433
3477 2.7839643653
5000 1.5451174289
evaluations raw_y
1 1.4863258026
4 1.5762925599
6 1.5923566879
13 1.6778523490
20 1.7934002869
28 1.8573551263
44 2.0259319287
213 2.3992322457
1742 2.6881720430
5000 1.3935340022
evaluations raw_y
1 1.0137875101
3 1.6778523490
12 1.7531556802
54 2.0259319287
256 2.0525451560
468 2.3277467412
533 2.5150905433
2339 2.5562372188
2906 2.7352297593
5000 0.9697439876
